extra_func 3 0x5C01  # cpu=$5C01 target=ZERO_FILLED A=00 X=01 Y=02 call_site=$2036
extra_func 3 0x2001  # cpu=$2001 target=ZERO_FILLED A=00 X=03 Y=02 call_site=$2006
extra_func 3 0x2201  # cpu=$2201 target=ZERO_FILLED A=00 X=01 Y=02 call_site=$0000
extra_func 6 0xA009  # cpu=$8009 target=CODE A=0D X=06 Y=00 call_site=$0000
extra_func 6 0xA003  # cpu=$8003 target=CODE A=05 X=10 Y=00 call_site=$0000
extra_func 7 0xFF01  # cpu=$FF01 target=ZERO_FILLED A=00 X=03 Y=04 call_site=$203E
extra_func 3 0x203F  # cpu=$203F target=ZERO_FILLED A=00 X=02 Y=04 call_site=$0000
extra_func 3 0x2801  # cpu=$2801 target=ZERO_FILLED A=00 X=01 Y=02 call_site=$6200
extra_func 6 0xA009  # cpu=$8009 target=CODE A=0D X=06 Y=00 call_site=$0000
extra_func 6 0xA003  # cpu=$8003 target=CODE A=05 X=10 Y=00 call_site=$0000
extra_func 7 0xFF01  # cpu=$FF01 target=ZERO_FILLED A=00 X=03 Y=04 call_site=$203E
extra_func 3 0x203F  # cpu=$203F target=ZERO_FILLED A=00 X=02 Y=04 call_site=$0000
extra_func 3 0x2801  # cpu=$2801 target=ZERO_FILLED A=00 X=01 Y=02 call_site=$6200
extra_func 6 0xA009  # cpu=$8009 target=CODE A=0D X=06 Y=00 call_site=$0000
extra_func 6 0xA003  # cpu=$8003 target=CODE A=05 X=10 Y=00 call_site=$0000
extra_func 7 0xFF01  # cpu=$FF01 target=ZERO_FILLED A=00 X=03 Y=04 call_site=$203E
extra_func 3 0x203F  # cpu=$203F target=ZERO_FILLED A=00 X=02 Y=04 call_site=$0000
extra_func 3 0x2801  # cpu=$2801 target=ZERO_FILLED A=00 X=01 Y=02 call_site=$6200
extra_func 6 0xA009  # cpu=$8009 target=CODE A=0D X=06 Y=00 call_site=$0000
extra_func 6 0xA003  # cpu=$8003 target=CODE A=05 X=10 Y=00 call_site=$0000
extra_func 7 0xFF01  # cpu=$FF01 target=ZERO_FILLED A=00 X=03 Y=04 call_site=$203E
extra_func 3 0x203F  # cpu=$203F target=ZERO_FILLED A=00 X=02 Y=04 call_site=$0000
extra_func 3 0x2801  # cpu=$2801 target=ZERO_FILLED A=00 X=01 Y=02 call_site=$6200
extra_func 6 0xA009  # cpu=$8009 target=CODE A=0D X=06 Y=00 call_site=$0000
extra_func 6 0xA003  # cpu=$8003 target=CODE A=05 X=10 Y=00 call_site=$0000
extra_func 7 0xFF01  # cpu=$FF01 target=ZERO_FILLED A=00 X=03 Y=04 call_site=$A0BE
extra_func 3 0x4801  # cpu=$4801 target=ZERO_FILLED A=00 X=00 Y=15 call_site=$204C
extra_func 6 0x8A35  # cpu=$8A35 target=CODE A=8A X=02 Y=03 call_site=$140D
extra_func 6 0xA009  # cpu=$8009 target=CODE A=0D X=06 Y=00 call_site=$0000
extra_func 6 0xA003  # cpu=$8003 target=CODE A=05 X=10 Y=00 call_site=$0000
extra_func 7 0xFF01  # cpu=$FF01 target=ZERO_FILLED A=00 X=03 Y=04 call_site=$A0BE
extra_func 3 0x4801  # cpu=$4801 target=ZERO_FILLED A=00 X=00 Y=15 call_site=$204C
extra_func 6 0xA009  # cpu=$8009 target=CODE A=0D X=06 Y=00 call_site=$0000
extra_func 6 0xA003  # cpu=$8003 target=CODE A=05 X=10 Y=00 call_site=$0000
extra_func 7 0xFF01  # cpu=$FF01 target=ZERO_FILLED A=00 X=03 Y=04 call_site=$A0BE
extra_func 3 0x4801  # cpu=$4801 target=ZERO_FILLED A=00 X=00 Y=15 call_site=$204C
extra_func 6 0x8A35  # cpu=$8A35 target=CODE A=8A X=02 Y=03 call_site=$140D
extra_func 6 0xA009  # cpu=$8009 target=CODE A=0D X=06 Y=00 call_site=$0000
extra_func 6 0xA003  # cpu=$8003 target=CODE A=05 X=10 Y=00 call_site=$0000
extra_func 7 0xFF01  # cpu=$FF01 target=ZERO_FILLED A=00 X=03 Y=04 call_site=$2200
extra_func 3 0x2201  # cpu=$2201 target=ZERO_FILLED A=00 X=02 Y=04 call_site=$0000
extra_func 3 0x8801  # cpu=$8801 target=CODE A=00 X=01 Y=02 call_site=$6200
extra_func 3 0x4C01  # cpu=$4C01 target=ZERO_FILLED A=00 X=03 Y=02 call_site=$603F
