addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
C866,7,standalone,C866,7,C866,7,3,0x02,ptr_scan
C831,7,standalone,C831,7,C831,7,7,0x02,ptr_scan
C833,7,standalone,C833,7,C833,7,6,0x02,ptr_scan
C84B,7,standalone,C84B,7,C84B,7,4,0x02,ptr_scan
8015,0,standalone,8015,0,8015,0,2,0x20,xbank
8015,1,standalone,8015,1,8015,1,2,0x20,xbank
8015,2,secondary,8012,2,8012,2,2,0x20,xbank
8015,4,standalone,8015,4,8015,4,2,0x20,xbank
8015,5,standalone,8015,5,8015,5,2,0x20,xbank
8015,6,standalone,8015,6,8015,6,2,0x20,xbank
8018,0,standalone,8018,0,8018,0,1,0x20,xbank
8018,1,standalone,8018,1,8018,1,1,0x20,xbank
8018,2,standalone,8018,2,8018,2,1,0x20,xbank
8018,4,standalone,8018,4,8018,4,1,0x20,xbank
8018,5,standalone,8018,5,8018,5,1,0x20,xbank
8018,6,standalone,8018,6,8018,6,1,0x20,xbank
E7F6,7,standalone,E7F6,7,E7F6,7,1,0x02,ptr_scan
EF86,7,secondary,EF6C,7,EF6C,7,1,0x02,ptr_scan
D50B,7,secondary,CD7D,7,CD7D,7,1,0x02,ptr_scan
EE8F,7,secondary,EE8D,7,EE8D,7,1,0x02,ptr_scan
EE57,7,standalone,EE57,7,EE57,7,2,0x02,ptr_scan
F6AC,7,secondary,F661,7,F661,7,1,0x02,ptr_scan
D68B,7,standalone,D68B,7,D68B,7,1,0x02,ptr_scan
D3F9,7,secondary,CD7D,7,CD7D,7,1,0x02,ptr_scan
E062,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
D892,7,secondary,CD7D,7,CD7D,7,1,0x02,ptr_scan
D68D,7,standalone,D68D,7,D68D,7,1,0x02,ptr_scan
DB1D,7,secondary,CD7D,7,CD7D,7,1,0x02,ptr_scan
C444,7,standalone,C444,7,C444,7,1,0x02,ptr_scan
8241,6,standalone,8241,6,8241,6,3,0x24,table_run|xbank
8227,6,standalone,8227,6,8227,6,1,0x20,xbank
8234,6,standalone,8234,6,8234,6,1,0x20,xbank
8292,6,standalone,8292,6,8292,6,3,0x20,xbank
BAAB,1,standalone,BAAB,1,BAAB,1,1,0x04,table_run
BBAC,1,standalone,BBAC,1,BBAC,1,1,0x04,table_run
BCAD,1,standalone,BCAD,1,BCAD,1,1,0x04,table_run
BDAE,1,standalone,BDAE,1,BDAE,1,1,0x04,table_run
9CCD,1,standalone,9CCD,1,9CCD,1,1,0x04,table_run
9CCE,1,standalone,9CCE,1,9CCE,1,1,0x04,table_run
A8A8,1,standalone,A8A8,1,A8A8,1,1,0x04,table_run
A9A4,2,standalone,A9A4,2,A9A4,2,1,0x04,table_run
AAA5,2,standalone,AAA5,2,AAA5,2,1,0x04,table_run
AAA6,2,standalone,AAA6,2,AAA6,2,1,0x04,table_run
AAA7,2,standalone,AAA7,2,AAA7,2,1,0x04,table_run
8F89,2,standalone,8F89,2,8F89,2,1,0x04,table_run
9690,2,standalone,9690,2,9690,2,1,0x04,table_run
9791,2,standalone,9791,2,9791,2,1,0x04,table_run
9892,2,standalone,9892,2,9892,2,1,0x04,table_run
A9A8,2,standalone,A9A8,2,A9A8,2,1,0x04,table_run
A9A9,2,standalone,A9A9,2,A9A9,2,1,0x04,table_run
93CD,3,standalone,93CD,3,93CD,3,1,0x04,table_run
A8A8,3,standalone,A8A8,3,A8A8,3,1,0x04,table_run
A9A8,3,standalone,A9A8,3,A9A8,3,1,0x04,table_run
A9A9,3,standalone,A9A9,3,A9A9,3,1,0x04,table_run
8886,3,standalone,8886,3,8886,3,1,0x04,table_run
B38E,3,standalone,B38E,3,B38E,3,1,0x04,table_run
A901,3,standalone,A901,3,A901,3,1,0x04,table_run
8D07,3,standalone,8D07,3,8D07,3,1,0x04,table_run
A270,4,standalone,A270,4,A270,4,1,0x04,table_run
8600,4,standalone,8600,4,8600,4,1,0x04,table_run
8672,4,standalone,8672,4,8672,4,1,0x04,table_run
8673,4,standalone,8673,4,8673,4,1,0x04,table_run
87DB,4,standalone,87DB,4,87DB,4,1,0x04,table_run
87F3,4,standalone,87F3,4,87F3,4,1,0x04,table_run
880B,4,standalone,880B,4,880B,4,1,0x04,table_run
8823,4,standalone,8823,4,8823,4,1,0x04,table_run
883B,4,standalone,883B,4,883B,4,1,0x04,table_run
8853,4,standalone,8853,4,8853,4,1,0x04,table_run
886B,4,standalone,886B,4,886B,4,1,0x04,table_run
8883,4,standalone,8883,4,8883,4,1,0x04,table_run
889B,4,standalone,889B,4,889B,4,1,0x04,table_run
88B3,4,standalone,88B3,4,88B3,4,1,0x04,table_run
88CB,4,standalone,88CB,4,88CB,4,1,0x04,table_run
88E3,4,standalone,88E3,4,88E3,4,1,0x04,table_run
88FB,4,standalone,88FB,4,88FB,4,1,0x04,table_run
8913,4,standalone,8913,4,8913,4,1,0x04,table_run
892B,4,standalone,892B,4,892B,4,1,0x04,table_run
8943,4,standalone,8943,4,8943,4,1,0x04,table_run
895B,4,standalone,895B,4,895B,4,1,0x04,table_run
8973,4,standalone,8973,4,8973,4,1,0x04,table_run
898B,4,standalone,898B,4,898B,4,1,0x04,table_run
89A3,4,standalone,89A3,4,89A3,4,1,0x04,table_run
89BB,4,standalone,89BB,4,89BB,4,1,0x04,table_run
89D3,4,standalone,89D3,4,89D3,4,1,0x04,table_run
8A3E,4,standalone,8A3E,4,8A3E,4,1,0x04,table_run
8AB7,4,standalone,8AB7,4,8AB7,4,1,0x04,table_run
8B11,4,standalone,8B11,4,8B11,4,1,0x04,table_run
8B4D,4,standalone,8B4D,4,8B4D,4,1,0x04,table_run
8B65,4,standalone,8B65,4,8B65,4,1,0x04,table_run
8B7D,4,standalone,8B7D,4,8B7D,4,1,0x04,table_run
8BE8,4,standalone,8BE8,4,8BE8,4,1,0x04,table_run
8C53,4,standalone,8C53,4,8C53,4,1,0x04,table_run
8CEB,4,standalone,8CEB,4,8CEB,4,1,0x04,table_run
8D03,4,standalone,8D03,4,8D03,4,1,0x04,table_run
8D1B,4,standalone,8D1B,4,8D1B,4,1,0x04,table_run
8D33,4,standalone,8D33,4,8D33,4,1,0x04,table_run
8D4B,4,standalone,8D4B,4,8D4B,4,1,0x04,table_run
8D63,4,standalone,8D63,4,8D63,4,1,0x04,table_run
8D7B,4,standalone,8D7B,4,8D7B,4,1,0x04,table_run
8D93,4,standalone,8D93,4,8D93,4,1,0x04,table_run
8DAB,4,standalone,8DAB,4,8DAB,4,1,0x04,table_run
8DC3,4,standalone,8DC3,4,8DC3,4,1,0x04,table_run
8DE4,4,standalone,8DE4,4,8DE4,4,1,0x04,table_run
8E57,4,standalone,8E57,4,8E57,4,1,0x04,table_run
8E6F,4,standalone,8E6F,4,8E6F,4,1,0x04,table_run
8E8A,4,standalone,8E8A,4,8E8A,4,1,0x04,table_run
8EA2,4,standalone,8EA2,4,8EA2,4,1,0x04,table_run
8EBA,4,standalone,8EBA,4,8EBA,4,1,0x04,table_run
8ED2,4,standalone,8ED2,4,8ED2,4,1,0x04,table_run
8EEA,4,standalone,8EEA,4,8EEA,4,1,0x04,table_run
805A,4,standalone,805A,4,805A,4,1,0x04,table_run
8F02,4,standalone,8F02,4,8F02,4,1,0x04,table_run
8F1A,4,standalone,8F1A,4,8F1A,4,1,0x04,table_run
8F32,4,standalone,8F32,4,8F32,4,1,0x04,table_run
8F4A,4,standalone,8F4A,4,8F4A,4,1,0x04,table_run
8F62,4,standalone,8F62,4,8F62,4,1,0x04,table_run
8F96,4,standalone,8F96,4,8F96,4,1,0x04,table_run
8FCA,4,standalone,8FCA,4,8FCA,4,1,0x04,table_run
9045,4,standalone,9045,4,9045,4,1,0x04,table_run
905D,4,standalone,905D,4,905D,4,1,0x04,table_run
9097,4,standalone,9097,4,9097,4,1,0x04,table_run
90FB,4,standalone,90FB,4,90FB,4,1,0x04,table_run
9113,4,standalone,9113,4,9113,4,1,0x04,table_run
912B,4,standalone,912B,4,912B,4,1,0x04,table_run
9143,4,standalone,9143,4,9143,4,1,0x04,table_run
915B,4,standalone,915B,4,915B,4,1,0x04,table_run
9176,4,standalone,9176,4,9176,4,1,0x04,table_run
9191,4,standalone,9191,4,9191,4,1,0x04,table_run
9226,4,standalone,9226,4,9226,4,1,0x04,table_run
92E3,4,standalone,92E3,4,92E3,4,1,0x04,table_run
9307,4,standalone,9307,4,9307,4,1,0x04,table_run
9322,4,standalone,9322,4,9322,4,1,0x04,table_run
937F,4,standalone,937F,4,937F,4,1,0x04,table_run
939A,4,standalone,939A,4,939A,4,1,0x04,table_run
9436,4,standalone,9436,4,9436,4,1,0x04,table_run
9451,4,standalone,9451,4,9451,4,1,0x04,table_run
946C,4,standalone,946C,4,946C,4,1,0x04,table_run
9487,4,standalone,9487,4,9487,4,1,0x04,table_run
8161,4,standalone,8161,4,8161,4,1,0x04,table_run
949F,4,standalone,949F,4,949F,4,1,0x04,table_run
8171,4,standalone,8171,4,8171,4,1,0x04,table_run
81A9,4,standalone,81A9,4,81A9,4,1,0x04,table_run
81C2,4,standalone,81C2,4,81C2,4,1,0x04,table_run
81CF,4,standalone,81CF,4,81CF,4,1,0x04,table_run
81D8,4,standalone,81D8,4,81D8,4,1,0x04,table_run
81F3,4,standalone,81F3,4,81F3,4,1,0x04,table_run
81FF,4,standalone,81FF,4,81FF,4,1,0x04,table_run
8568,4,standalone,8568,4,8568,4,1,0x04,table_run
8267,4,standalone,8267,4,8267,4,1,0x04,table_run
8272,4,standalone,8272,4,8272,4,1,0x04,table_run
827D,4,standalone,827D,4,827D,4,1,0x04,table_run
8288,4,standalone,8288,4,8288,4,1,0x04,table_run
8293,4,standalone,8293,4,8293,4,1,0x04,table_run
829B,4,standalone,829B,4,829B,4,1,0x04,table_run
82CB,4,standalone,82CB,4,82CB,4,1,0x04,table_run
8329,4,standalone,8329,4,8329,4,1,0x04,table_run
8333,4,standalone,8333,4,8333,4,1,0x04,table_run
8352,4,standalone,8352,4,8352,4,1,0x04,table_run
8371,4,standalone,8371,4,8371,4,2,0x04,table_run
83AF,4,standalone,83AF,4,83AF,4,1,0x04,table_run
8385,4,standalone,8385,4,8385,4,1,0x04,table_run
84F8,4,standalone,84F8,4,84F8,4,1,0x04,table_run
839A,4,standalone,839A,4,839A,4,1,0x04,table_run
83D9,4,standalone,83D9,4,83D9,4,1,0x04,table_run
83F4,4,standalone,83F4,4,83F4,4,1,0x04,table_run
840F,4,standalone,840F,4,840F,4,1,0x04,table_run
8402,4,standalone,8402,4,8402,4,1,0x04,table_run
8425,4,standalone,8425,4,8425,4,1,0x04,table_run
8571,4,secondary,856F,4,856F,4,1,0x04,table_run
84CC,4,standalone,84CC,4,84CC,4,1,0x04,table_run
854D,4,standalone,854D,4,854D,4,1,0x04,table_run
82E2,4,standalone,82E2,4,82E2,4,1,0x04,table_run
8311,4,standalone,8311,4,8311,4,1,0x04,table_run
9812,4,standalone,9812,4,9812,4,1,0x04,table_run
