addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
E9DB,7,secondary,E9D2,7,E9D2,7,1,0x02,ptr_scan
F7C5,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
D7DE,7,standalone,D7DE,7,D7DE,7,1,0x02,ptr_scan
D3D8,7,standalone,D3D8,7,D3D8,7,1,0x02,ptr_scan
DCD3,7,standalone,DCD3,7,CD7D,7,1,0x02,ptr_scan
CFCB,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
CCFE,7,standalone,CCFE,7,CCFE,7,1,0x02,ptr_scan
D343,7,secondary,C3ED,7,C3ED,7,1,0x02,ptr_scan
E7B7,7,standalone,E7B7,7,E7B7,7,1,0x02,ptr_scan
E568,7,secondary,E544,7,E544,7,1,0x02,ptr_scan
E5E5,7,secondary,E5D1,7,E5D1,7,1,0x02,ptr_scan
E6AD,7,standalone,E6AD,7,E6AD,7,1,0x02,ptr_scan
EEE6,7,secondary,EEB4,7,EEB4,7,1,0x02,ptr_scan
E7EE,7,standalone,E7EE,7,E7EE,7,1,0x02,ptr_scan
EFE7,7,secondary,EF9B,7,EF9B,7,1,0x02,ptr_scan
F1AD,7,standalone,F1AD,7,F1AD,7,1,0x02,ptr_scan
E4F7,7,secondary,E4E3,7,E4E3,7,1,0x02,ptr_scan
F6E4,7,secondary,F6C9,7,F6C9,7,1,0x02,ptr_scan
D6B1,7,secondary,C73B,7,C73B,7,1,0x02,ptr_scan
EAD6,7,standalone,EAD6,7,EAD6,7,1,0x02,ptr_scan
F7EA,7,secondary,F7DC,7,F7DC,7,1,0x02,ptr_scan
D841,7,secondary,C852,7,C852,7,1,0x02,ptr_scan
D52B,7,standalone,D52B,7,D52B,7,1,0x02,ptr_scan
DD18,7,standalone,DD18,7,DD18,7,1,0x02,ptr_scan
F604,7,secondary,F5BD,7,F5BD,7,1,0x02,ptr_scan
D4C0,7,standalone,D4C0,7,D4C0,7,1,0x02,ptr_scan
E53F,7,standalone,E53F,7,E53F,7,1,0x02,ptr_scan
C0DB,7,standalone,C0DB,7,C0DB,7,1,0x02,ptr_scan
D70B,7,secondary,C73B,7,C73B,7,1,0x02,ptr_scan
D908,7,standalone,D908,7,D908,7,1,0x02,ptr_scan
E140,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
E122,7,standalone,E122,7,E122,7,1,0x02,ptr_scan
F49F,7,standalone,F49F,7,F49F,7,1,0x02,ptr_scan
FA3C,7,standalone,FA3C,7,FA3C,7,1,0x02,ptr_scan
C090,7,standalone,C090,7,C090,7,1,0x02,ptr_scan
F9FB,7,secondary,F9F2,7,F9F2,7,1,0x02,ptr_scan
F924,7,standalone,F924,7,F924,7,1,0x02,ptr_scan
DB00,7,secondary,CD7D,7,CD7D,7,1,0x02,ptr_scan
E622,7,standalone,E622,7,E622,7,1,0x02,ptr_scan
E04A,7,standalone,E04A,7,E04A,7,1,0x02,ptr_scan
EA0D,7,secondary,E9F9,7,E9F9,7,1,0x02,ptr_scan
CEF7,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
DAAE,7,secondary,CD7D,7,CD7D,7,1,0x02,ptr_scan
F333,7,standalone,F333,7,F333,7,1,0x02,ptr_scan
D559,7,standalone,D559,7,D559,7,1,0x02,ptr_scan
F21B,7,standalone,F21B,7,F21B,7,1,0x02,ptr_scan
E48E,7,secondary,E460,7,E460,7,1,0x02,ptr_scan
E9D7,7,standalone,E9D7,7,E9D7,7,1,0x02,ptr_scan
F676,7,standalone,F676,7,F676,7,1,0x02,ptr_scan
E3F6,7,standalone,E3F6,7,E3F6,7,1,0x02,ptr_scan
CE7B,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
D4B3,7,standalone,D4B3,7,D4B3,7,1,0x02,ptr_scan
FA08,7,secondary,F9F2,7,F9F2,7,1,0x02,ptr_scan
EB27,7,standalone,EB27,7,EB27,7,1,0x02,ptr_scan
F832,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
DDCA,7,standalone,DDCA,7,DDCA,7,1,0x02,ptr_scan
F795,7,standalone,F795,7,F795,7,1,0x02,ptr_scan
D98E,7,secondary,CA16,7,CA16,7,1,0x02,ptr_scan
D6FD,7,secondary,C73B,7,C73B,7,1,0x02,ptr_scan
E429,7,secondary,E417,7,E417,7,1,0x02,ptr_scan
CF33,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
E003,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
EC20,7,standalone,EC20,7,EC20,7,1,0x02,ptr_scan
E004,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
F368,7,standalone,F368,7,F368,7,1,0x02,ptr_scan
EE76,7,standalone,EE76,7,EE76,7,1,0x02,ptr_scan
F630,7,secondary,F617,7,F617,7,1,0x02,ptr_scan
E034,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
D02D,7,standalone,D02D,7,D02D,7,1,0x02,ptr_scan
E578,7,secondary,E544,7,E544,7,1,0x02,ptr_scan
C3B4,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
CCC9,7,standalone,CCC9,7,CCC9,7,1,0x02,ptr_scan
C8BA,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
CBBD,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
C8C2,7,standalone,C8C2,7,C8C2,7,1,0x02,ptr_scan
C3C8,7,standalone,C3C8,7,C3C8,7,1,0x02,ptr_scan
CB68,7,standalone,CB68,7,CB68,7,1,0x02,ptr_scan
CBCA,7,standalone,CBCA,7,CBCA,7,1,0x02,ptr_scan
D4D3,7,secondary,C555,7,C555,7,1,0x02,ptr_scan
D25D,7,standalone,D25D,7,D25D,7,1,0x02,ptr_scan
D3D4,7,secondary,C3ED,7,C3ED,7,10,0x02,ptr_scan
DEB6,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
D4C5,7,standalone,D4C5,7,D4C5,7,1,0x02,ptr_scan
CA9B,7,standalone,CA9B,7,CA9B,7,1,0x02,ptr_scan
C3B8,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
C8B5,7,standalone,C8B5,7,C8B5,7,1,0x02,ptr_scan
CB7A,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
CED9,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
DACE,7,secondary,CD7D,7,CD7D,7,1,0x02,ptr_scan
CFDA,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
DA80,7,secondary,CD7D,7,CD7D,7,1,0x02,ptr_scan
DAD0,7,secondary,CD7D,7,CD7D,7,1,0x02,ptr_scan
D2DC,7,standalone,D2DC,7,D2DC,7,1,0x02,ptr_scan
DFD4,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
D6E0,7,standalone,D6E0,7,D6E0,7,1,0x02,ptr_scan
D7E1,7,standalone,D7E1,7,D7E1,7,1,0x02,ptr_scan
E2D7,7,standalone,E2D7,7,E2D7,7,1,0x02,ptr_scan
D8E2,7,standalone,D8E2,7,C915,7,1,0x02,ptr_scan
E3E4,7,standalone,E3E4,7,E3E4,7,1,0x02,ptr_scan
E50C,7,secondary,E4E3,7,E4E3,7,1,0x02,ptr_scan
E7E5,7,standalone,E7E5,7,E7E5,7,1,0x02,ptr_scan
E6E7,7,standalone,E6E7,7,E6E7,7,1,0x02,ptr_scan
E964,7,secondary,E928,7,E928,7,1,0x02,ptr_scan
EBE8,7,standalone,EBE8,7,EBE8,7,1,0x02,ptr_scan
EAE9,7,standalone,EAE9,7,EAE9,7,1,0x02,ptr_scan
EC68,7,secondary,EC36,7,EC36,7,1,0x02,ptr_scan
EDEC,7,standalone,EDEC,7,EDEC,7,1,0x02,ptr_scan
E9ED,7,standalone,E9ED,7,E9ED,7,1,0x02,ptr_scan
EE26,7,secondary,EE11,7,EE11,7,1,0x02,ptr_scan
EEEE,7,secondary,EEB4,7,EEB4,7,1,0x02,ptr_scan
EFEE,7,standalone,EFEE,7,EFEE,7,1,0x02,ptr_scan
EEE8,7,secondary,EEB4,7,EEB4,7,1,0x02,ptr_scan
C028,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
CDBF,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
CEC0,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
CFC1,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
C3D0,7,standalone,C3D0,7,C3D0,7,1,0x02,ptr_scan
D1C3,7,standalone,D1C3,7,D1C3,7,1,0x02,ptr_scan
D1C5,7,standalone,D1C5,7,D1C5,7,1,0x02,ptr_scan
C8D2,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
D3C8,7,secondary,C3ED,7,C3ED,7,1,0x02,ptr_scan
D4C9,7,secondary,C555,7,C555,7,2,0x02,ptr_scan
CAD4,7,standalone,CAD4,7,CAD4,7,1,0x02,ptr_scan
D5CA,7,secondary,C5F4,7,C5F4,7,1,0x02,ptr_scan
CBD5,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
D6CB,7,secondary,C73B,7,C73B,7,1,0x02,ptr_scan
D7CC,7,standalone,D7CC,7,D7CC,7,1,0x02,ptr_scan
D8D7,7,secondary,C915,7,C915,7,1,0x02,ptr_scan
DCDE,7,secondary,CD7D,7,CD7D,7,1,0x02,ptr_scan
DFDC,7,standalone,DFDC,7,DFDC,7,1,0x02,ptr_scan
DDDF,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
C8BC,7,standalone,C8BC,7,C8BC,7,1,0x02,ptr_scan
CBBF,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
CCC0,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
E1DB,7,secondary,D191,7,D191,7,1,0x02,ptr_scan
DDE2,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
E3DD,7,standalone,E3DD,7,E3DD,7,1,0x02,ptr_scan
DEE3,7,secondary,D0F5,7,D0F5,7,1,0x02,ptr_scan
E4DE,7,secondary,E4D8,7,E4D8,7,1,0x02,ptr_scan
E5DF,7,secondary,E5D1,7,E5D1,7,1,0x02,ptr_scan
E9C9,7,standalone,E9C9,7,E9C9,7,1,0x02,ptr_scan
CB9C,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
CCC8,7,secondary,C004,7,C004,7,1,0x02,ptr_scan
D2AA,7,secondary,C3ED,7,C3ED,7,1,0x02,ptr_scan
D4D2,7,standalone,D4D2,7,D4D2,7,1,0x02,ptr_scan
D5D3,7,standalone,D5D3,7,D5D3,7,1,0x02,ptr_scan
